SHOA-COMBINED FULL LOG REPORT
============================
target_fitness=0.0
iterations_logged=100
stagnation_events_logged=9

ITERATION LOG
-------------
fn=S01.json | run=2 | iter=50 | fe=1522 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0

EVENT LOG
---------
fn=S01.json | run=1 | iter=2 | event=warmup_completed | fe=80 | sfes=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000
fn=S01.json | run=1 | iter=5 | event=stagnation_start | fe=170 | sfes=60 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000
fn=S01.json | run=1 | iter=5 | event=restart_executed | fe=172 | sfes=60 | restart_executed=1 | restart_source=random_fallback | restart_feature=alpha | restart_feature_score=0.1987
fn=S01.json | run=1 | iter=47 | event=recovered | fe=1432 | sfes=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000
fn=S01.json | run=1 | iter=49 | event=stagnation_start | fe=1492 | sfes=60 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000
fn=S01.json | run=1 | iter=49 | event=restart_executed | fe=1494 | sfes=60 | restart_executed=1 | restart_source=random_fallback | restart_feature=mag_predacion_mean | restart_feature_score=0.1391
fn=S01.json | run=2 | iter=2 | event=warmup_completed | fe=80 | sfes=30 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000
fn=S01.json | run=2 | iter=3 | event=stagnation_start | fe=110 | sfes=60 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000
fn=S01.json | run=2 | iter=3 | event=restart_executed | fe=112 | sfes=60 | restart_executed=1 | restart_source=random_fallback | restart_feature= | restart_feature_score=0.0000
